id;name;price;sdate;edate;is_actual
u1;Фасовка;26400;01.01.2001;31.12.2017;0
u2;Упаковка европалет;25400;01.01.2001;31.12.2017;0
u3;Доставка;27600;01.01.2001;31.12.2017;0
u4;Дегидрация;27125;01.01.2001;31.12.2017;0
u5;Формовка;29600;01.01.2001;31.12.2017;0
u1;Фасовка;31680;01.01.2018;31.12.2019;0
u2;Упаковка европалет;30480;01.01.2018;31.12.2019;0
u3;Доставка;33120;01.01.2018;31.12.2019;0
u4;Дегидрация;32550;01.01.2018;31.12.2019;0
u5;Формовка;35520;01.01.2018;31.12.2019;0
u1;Фасовка;38016;01.01.2020;31.12.9999;1
u2;Упаковка европалет;36576;01.01.2020;31.12.9999;1
u3;Доставка;39744;01.01.2020;31.12.9999;1
u4;Дегидрация;39060;01.01.2020;31.12.9999;1
u5;Формовка;42624;01.01.2020;31.12.9999;1
